type,name,dependencies_count,dependencies,header
PROCEDURE,dt_getpropertiesbyid,2,"dt_getpropertiesbyid, dtproperties",create procedure dbo.dt_getpropertiesbyid
PROCEDURE,dt_getpropertiesbyid_u,3,"dt_getpropertiesbyid_u, dtproperties, the",create procedure dbo.dt_getpropertiesbyid_u
PROCEDURE,dt_getpropertiesbyid_vcs,2,"dt_getpropertiesbyid_vcs, dtproperties",create procedure dbo.dt_getpropertiesbyid_vcs
PROCEDURE,dt_getpropertiesbyid_vcs_u,2,"dt_getpropertiesbyid_vcs, dt_getpropertiesbyid_vcs_u",create procedure dbo.dt_getpropertiesbyid_vcs_u
PROCEDURE,dt_isundersourcecontrol,7,"dt_displayoaerror, dt_getpropertiesbyid_vcs, dt_isundersourcecontrol, dtproperties, sp_OACreate, sp_OAGetProperty, sp_OAMethod",create proc dbo.dt_isundersourcecontrol
PROCEDURE,dt_isundersourcecontrol_u,2,"dt_isundersourcecontrol, dt_isundersourcecontrol_u",create proc dbo.dt_isundersourcecontrol_u
PROCEDURE,dt_isundersourcecontrol_u,2,"dt_isundersourcecontrol, dt_isundersourcecontrol_u",create proc dbo.dt_isundersourcecontrol_u
PROCEDURE,dt_removefromsourcecontrol,3,"dt_droppropertiesbyid, dt_removefromsourcecontrol, dtproperties",create procedure dbo.dt_removefromsourcecontrol
PROCEDURE,dt_setpropertybyid,2,"dt_setpropertybyid, dtproperties",create procedure dbo.dt_setpropertybyid
PROCEDURE,dt_setpropertybyid,2,"dt_setpropertybyid, dtproperties",create procedure dbo.dt_setpropertybyid
PROCEDURE,dt_setpropertybyid_u,3,"dt_generateansiname, dt_setpropertybyid_u, dtproperties",create procedure dbo.dt_setpropertybyid_u
PROCEDURE,dt_validateloginparams,6,"dt_displayoaerror, dt_getpropertiesbyid_vcs, dt_validateloginparams, dtproperties, sp_OACreate, sp_OAMethod",create proc dbo.dt_validateloginparams
PROCEDURE,dt_validateloginparams_u,2,"dt_validateloginparams, dt_validateloginparams_u",create proc dbo.dt_validateloginparams_u
PROCEDURE,dt_validateloginparams_u,2,"dt_validateloginparams, dt_validateloginparams_u",create proc dbo.dt_validateloginparams_u
PROCEDURE,dt_vcsenabled,2,"dt_vcsenabled, sp_OACreate",create proc dbo.dt_vcsenabled
PROCEDURE,dt_verstamp006,1,dt_verstamp006,create procedure dbo.dt_verstamp006
PROCEDURE,dt_verstamp007,1,dt_verstamp007,create procedure dbo.dt_verstamp007
PROCEDURE,dt_whocheckedout,6,"dt_displayoaerror, dt_getpropertiesbyid_vcs, dt_whocheckedout, dtproperties, sp_OACreate, sp_OAMethod",create proc dbo.dt_whocheckedout
PROCEDURE,dt_whocheckedout_u,2,"dt_whocheckedout, dt_whocheckedout_u",create proc dbo.dt_whocheckedout_u
PROCEDURE,dt_whocheckedout_u,2,"dt_whocheckedout, dt_whocheckedout_u",create proc dbo.dt_whocheckedout_u
PROCEDURE,GetCurrentQueryCode,2,"dbo, sysprocesses",CREATE PROCEDURE GetCurrentQueryCode
PROCEDURE,GetCurrentQueryCode,2,"dbo, sysprocesses",CREATE PROCEDURE GetCurrentQueryCode
