type,name,dependencies_count,dependencies,header,category
PROCEDURE,Change_Year_in_project,1,Change_Year_in_project,"CREATE PROCEDURE [dbo].[Change_Year_in_project] @code int , @delete_flag bit",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,ChangeNufhCode,22,"ChangeNufhCode, brv_ader, brv_bgml, brv_dstb, brv_dstn_fromto, brv_dstn_fromto_rzmt, brv_dstn_main, brv_dstn_main_rzmt, brv_fhbh, brv_fhpy, brv_fhpy_Acts, brv_grop, brv_hmbs, brv_hmpy, brv_hmpy_rzmt, brv_khmt, brv_mult_acts, brv_nmmhb, brv_rzmt, brv_sorc, brv_sorc_acts, brv_tatbigh","CREATE PROCEDURE [dbo].[ChangeNufhCode] (@SrcID INT , @DestID INT , @DestAbst NVARCHAR(100) , @DestDscr NVARCHAR(500) ,",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CNV00_definitions,1,taksa_temp,CREATE PROCEDURE CNV00_definitions @year int,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CNV02_unit_insert,0,,CREATE PROCEDURE CNV02_unit_insert @year int,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CNV04_grop_dstb_hmbs_refinement,0,,CREATE PROCEDURE CNV04_grop_dstb_hmbs_refinement @year int,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CNV05_grop_insert,0,,CREATE PROCEDURE CNV05_grop_insert @year int,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CNV06_grop_correction_hmbs_dstb,0,,CREATE PROCEDURE CNV06_grop_correction_hmbs_dstb @year int,Utility / نرمال‌سازی مقدار
PROCEDURE,CNV07_sorc_nmmhb,0,,CREATE PROCEDURE CNV07_sorc_nmmhb @year int,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CNV08_FOSI_update_all,1,CNV08_FOSI_update_all,CREATE PROCEDURE [dbo].[CNV08_FOSI_update_all],Utility / نرمال‌سازی مقدار
PROCEDURE,CNV09_shkh_update_all,0,,CREATE PROCEDURE CNV09_shkh_update_all,Utility / نرمال‌سازی مقدار
PROCEDURE,copy_base_book,0,,"CREATE PROCEDURE copy_base_book (@year_source int,@year_dest int,@nufh int)",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_base_fasl,1,copy_base_fasl,"CREATE PROCEDURE [dbo].[copy_base_fasl] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int,@fasl_source nvarchar(100),@fasl_dest nvarchar(100),@zarib numeric(18,3))",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_base_fhbh,1,copy_base_fhbh,"CREATE PROCEDURE [dbo].[copy_base_fhbh] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int,@zarib numeric(18,3) , @SetNullPcun bit",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_base_hmbs,0,,"CREATE PROCEDURE copy_base_hmbs (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_base_nmmhb,1,copy_base_nmmhb,"CREATE PROCEDURE [dbo].[copy_base_nmmhb] (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_base_sorc,0,,"CREATE PROCEDURE copy_base_sorc (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_base_zrlc,0,,"CREATE PROCEDURE copy_base_zrlc (@year_source int,@year_dest int,@nufh_source int,@nufh_dest int)",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_delay,0,,"CREATE procedure copy_delay(@fromPymn int,@toPymn int)",تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,copy_psn_to_subprojects,0,,CREATE PROCEDURE copy_psn_to_subprojects @code int,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CopyMog,1,brv_mogs,CREATE PROCEDURE CopyMog,نیازمند بررسی
PROCEDURE,CopyProjectProp,2,"CopyProjectProp, brv_contract",CREATE PROCEDURE [dbo].[CopyProjectProp],نیازمند بررسی
PROCEDURE,Correct_Letters_in_Faragamara,0,,CREATE PROCEDURE Correct_Letters_in_Faragamara,Utility / نرمال‌سازی مقدار
