type,name,dependencies_count,dependencies,header,category
PROCEDURE,sp_creatediagram,2,"sp_creatediagram, sysdiagrams",CREATE PROCEDURE dbo.sp_creatediagram,نیازمند بررسی
PROCEDURE,sp_dropdiagram,2,"sp_dropdiagram, sysdiagrams",CREATE PROCEDURE dbo.sp_dropdiagram,نیازمند بررسی
PROCEDURE,sp_helpdiagramdefinition,2,"sp_helpdiagramdefinition, sysdiagrams",CREATE PROCEDURE dbo.sp_helpdiagramdefinition,نیازمند بررسی
PROCEDURE,sp_helpdiagrams,2,"sp_helpdiagrams, sysdiagrams",CREATE PROCEDURE dbo.sp_helpdiagrams,نیازمند بررسی
PROCEDURE,Sp_Manage_ader_fhbh_Relation,3,"Sp_Manage_ader_fhbh_Relation, base_ader, base_fhbh",CREATE PROCEDURE [dbo].[Sp_Manage_ader_fhbh_Relation] ( @Flag INT ),نیازمند بررسی
PROCEDURE,sp_renamediagram,2,"sp_renamediagram, sysdiagrams",CREATE PROCEDURE dbo.sp_renamediagram,نیازمند بررسی
PROCEDURE,sp_upgraddiagrams,2,"sp_upgraddiagrams, sysdiagrams",CREATE PROCEDURE dbo.sp_upgraddiagrams,نیازمند بررسی
PROCEDURE,SpDeleteTypeSituDependencies,0,,CREATE PROCEDURE SpDeleteTypeSituDependencies,قفل/حذف/حفظ وابستگی
PROCEDURE,SVZIMPORT01_prepare,1,svz_importer,CREATE PROCEDURE SVZIMPORT01_prepare,ورود/ایمپورت فایل‌ها
PROCEDURE,SVZIMPORT02_unit,0,,CREATE PROCEDURE SVZIMPORT02_unit,ورود/ایمپورت فایل‌ها
PROCEDURE,SVZIMPORT03_01_nusv,0,,CREATE PROCEDURE SVZIMPORT03_01_nusv,ورود/ایمپورت فایل‌ها
PROCEDURE,SVZIMPORT05_add_ader,0,,CREATE PROCEDURE SVZIMPORT05_add_ader @code int,ورود/ایمپورت فایل‌ها
PROCEDURE,update_db,1,update_db,CREATE procedure [dbo].[update_db] ( @nufh int )as,Utility / نرمال‌سازی مقدار
PROCEDURE,update_vb,1,update_vb,CREATE procedure [dbo].[update_vb] (@nufh int),Utility / نرمال‌سازی مقدار
PROCEDURE,update_zarib_fhpy_mult,1,val,CREATE procedure update_zarib_fhpy_mult (@code int),Utility / نرمال‌سازی مقدار
PROCEDURE,UpdateDateCol,1,UpdateDateCol,CREATE PROCEDURE [dbo].[UpdateDateCol],Utility / نرمال‌سازی مقدار
PROCEDURE,UpdateYearCol_Biharz,4,"UpdateYearCol_Biharz, base_fosi, base_year, bhz_Contract",create PROCEDURE [dbo].[UpdateYearCol_Biharz],Utility / نرمال‌سازی مقدار
PROCEDURE,UpdateYearCol_Mabna,42,"Base_ShakhesYerSeMahe, Pek_intp, Pek_nash, UpdateYearCol_Mabna, base_ZrLc, base_acts_items, base_ader, base_book, base_dstb, base_fhbh, base_fosi, base_fsbs, base_grop, base_hmbs, base_mola_Year, base_mola_haml, base_mola_year, base_nmmhb, base_pvst, base_shfs, base_shkl, base_shrs, base_sorc, base_tatbigh, base_year, base_zrlc, pek_ztadil, smn_Base_Days, smn_Hgzm_Days, smn_Hgzm_Gathering_Price, smn_Hgzm_Month, smn_Hgzm_Nailing_Price, smn_Hgzm_Road_Price, smn_Hgzm_Salary, smn_Hgzm_Year, smn_Survey_Tariff, smn_Survey_Tariff_Base, smn_Tender_FieldPrice, smn_Tender_Main, smn_Tunnel_PriceFac, smn_Tunnel_PriceFac_Base, smn_contract",CREATE PROCEDURE [dbo].[UpdateYearCol_Mabna],Utility / نرمال‌سازی مقدار
