name_lower,count,folders,prefixes
sv_bgml_norm_mash.rpt,2,"Custom_4, stnd",sv
sv_bgml_tafk.rpt,2,"Custom_3, Land",sv
sv_dife_total.rpt,2,"Custom_3, Land",sv
sv_seas_v_tdil1.rpt,2,"Custom_3, Land",sv
br_bgml_65_mash.rpt,1,stnd,br
br_bgml_acts_mash.rpt,1,stnd,br
br_bgml_actsrpt.rpt,1,Land,br
br_bgml_mash_afka.rpt,1,stnd,br
br_bgml_mash_done.rpt,1,stnd,br
br_bgml_moth_mash.rpt,1,stnd,br
br_bgml_nozoli_mash.rpt,1,stnd,br
br_bgml_tdil_mash.rpt,1,stnd,br
br_bgml_tdil_mash_xml.rpt,1,Land,br
br_compareana.rpt,1,stnd,br
br_dife_one.rpt,1,Land,br
br_dife_totl.rpt,1,Land,br
br_note_acts_zrib.rpt,1,stnd,br
br_note_moth_zrib.rpt,1,stnd,br
br_note_tdil_zrib.rpt,1,stnd,br
br_pymn_tree_1.rpt,1,Land,br
br_rzmt_acts-old.rpt,1,stnd,br
br_rzmt_mash.rpt,1,stnd,br
br_seas_moth_zrib.rpt,1,stnd,br
bs_fhbh1_eng.rpt,1,English,bs
pbr_bgml_norm.rpt,1,Port,pbr
pk_pymn_comp_alef_mash.rpt,1,stnd,pk
pk_pymn_comp_alef_mokh.rpt,1,stnd,pk
pk_pymn_comp_filt_mash.rpt,1,stnd,pk
pk_pymn_comp_filt_mokh.rpt,1,stnd,pk
pk_pymn_comp_resh_mash.rpt,1,stnd,pk
pk_pymn_comp_resh_mokh.rpt,1,stnd,pk
pk_pymn_pers_alef_mash.rpt,1,stnd,pk
pk_pymn_pers_alef_mokh.rpt,1,stnd,pk
pk_pymn_pers_filt_mash.rpt,1,stnd,pk
pk_pymn_pers_filt_mokh.rpt,1,stnd,pk
pk_pymn_pers_resh_mash.rpt,1,stnd,pk
pk_pymn_pers_resh_mokh.rpt,1,stnd,pk
ps_ana_4951_new_orig.rpt,1,stnd,ps
ps_anab.rpt,1,Land,ps
ps_anam.rpt,1,Land,ps
ps_anamb.rpt,1,Land,ps
ps_anams.rpt,1,Land,ps
ps_anams_in.rpt,1,Land,ps
ps_anams_pj.rpt,1,Land,ps
ps_bgml_acts_mash.rpt,1,stnd,ps
ps_bgml_actsrpt.rpt,1,Land,ps
ps_bgml_anjam_pish.rpt,1,Land,ps
ps_bgml_brv.rpt,1,Land,ps
ps_bgml_brv_ol.rpt,1,Land,ps
ps_bgml_mash_afka.rpt,1,stnd,ps
ps_bgml_mash_done.rpt,1,stnd,ps
ps_bgml_mash_norm.rpt,1,stnd,ps
ps_bgml_moth_mash.rpt,1,stnd,ps
ps_bgml_nozoli_mash.rpt,1,stnd,ps
ps_bgml_pish.rpt,1,Land,ps
ps_bgml_tafk.rpt,1,Land,ps
ps_bgml_tdil_mash.rpt,1,stnd,ps
ps_bgml_tdil_mash_xml.rpt,1,Land,ps
ps_comp_tdil.rpt,1,Land,ps
ps_compareana.rpt,1,stnd,ps
ps_dife_one.rpt,1,Land,ps
ps_dife_total.rpt,1,Land,ps
ps_dife_totl.rpt,1,Land,ps
ps_dist_distances.rpt,1,Land,ps
ps_dist_points.rpt,1,Land,ps
ps_fhbh0.rpt,1,Land,ps
ps_fhbh1.rpt,1,Land,ps
ps_fhbh_ader0.rpt,1,Land,ps
ps_fhbh_ader1.rpt,1,Land,ps
ps_hmpy_mash_rzmt.rpt,1,stnd,ps
ps_intp.rpt,1,Land,ps
ps_note_acts_zrib.rpt,1,stnd,ps
ps_note_moth_zrib.rpt,1,stnd,ps
ps_note_tdil_zrib.rpt,1,stnd,ps
ps_pymn_tree_1.rpt,1,Land,ps
ps_rzmt_acts_mash.rpt,1,stnd,ps
ps_rzmt_mash.rpt,1,stnd,ps
ps_seas_acts1.rpt,1,Land,ps
ps_seas_acts2.rpt,1,Land,ps
ps_seas_acts_zrib.rpt,1,stnd,ps
ps_seas_afka.rpt,1,Land,ps
ps_seas_anjam_pish.rpt,1,Land,ps
ps_seas_brv.rpt,1,Land,ps
ps_seas_brv_ol.rpt,1,Land,ps
ps_seas_done.rpt,1,Land,ps
ps_seas_moth_zrib.rpt,1,stnd,ps
ps_seas_norm_zr.rpt,1,Land,ps
ps_seas_pish.rpt,1,Land,ps
ps_seas_tdil_zrib.rpt,1,stnd,ps
ps_seas_v_tdil.rpt,1,Land,ps
ps_seas_v_tdil1.rpt,1,Land,ps
ps_shkh_fasli.rpt,1,Land,ps
ps_shkh_koli.rpt,1,Land,ps
ps_shkh_rest.rpt,1,Land,ps
ps_sorc.rpt,1,Land,ps
ps_sorc_ama.rpt,1,Land,ps
ps_sorc_brv.rpt,1,Land,ps
ps_sorc_inpt.rpt,1,Land,ps
ps_sorc_net.rpt,1,Land,ps
ps_sorc_roz.rpt,1,Land,ps
ps_sorc_tot.rpt,1,Land,ps
ps_tatb_seas.rpt,1,Land,ps
ps_zrib1.rpt,1,Land,ps
ps_zrib_pykr.rpt,1,Land,ps
ps_zrib_work.rpt,1,Land,ps
ps_zrtd_intp.rpt,1,Land,ps
rpt_comparebgml.rpt,1,Fhbh_NaftGaz,rpt
sv_ana_naft2.rpt,1,stnd,sv
sv_bgml_norm_eng.rpt,1,English,sv
sv_compareana.rpt,1,stnd,sv
sv_pymn1.rpt,1,abfa,sv
sv_pymn_eng.rpt,1,English,sv
sv_pymnold.rpt,1,abfa,sv
sv_rzmt_eng.rpt,1,English,sv
sv_rzmt_stmj-old.rpt,1,stnd,sv
sv_seas_norm_eng.rpt,1,English,sv
