source_file,tip_no,form_title,module_family,capability_summary,web_interpretation
tx_tips_psn.txt,16,گزارشات,گزارش / چاپ,امکان انتقال به برنامه های جانبی Word، Excel، Acrobat وجود دارد .,خروجی قابل چاپ/PDF/Excel
tx_tips_psn.txt,17,ریزمتره و خلاصه متره,متره / ریزمتره,امکان رسم تصویر برای هر آیتم در ریزمتره یا خلاصه متره و گزارشگیری آنها وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_psn.txt,18,ریزمتره و خلاصه متره,تعدیل / شاخص,امکان تعریف آیتم ستاره دار، فاکتوری، مبنای قرارداد، قیمت جدید، فاقد تعدیل، مجازی در هر یک از فرم های ریزمتره، خلاصه متره و برگه مالی وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_psn.txt,19,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,دسترسی به فهرست بهای پایه و تمام آیتم های مختص آن در هر دفترچه در سیستم وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_psn.txt,20,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,امکان فرمول نویسی برای هر یک از متغیرهای فرم های ورودی از قبیل ریزمتره، برگه مالی و خلاصه متره,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_psn.txt,21,امکان جستجو و مرتب سازی روی تمام جداول فرم های موجود در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_psn.txt,22,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,امکان اضافه کردن کدهای مرتبط تحت عنوان اضافه یا کسربها در سیستم وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_psn.txt,23,برگه مالی ، فصول و دفترچه ها,آنالیز بها / منابع,امکان مشاهده فرم های بخشنامه 4951 تحت عنوان نزولی بها، 65%، جدول 3، 4، 5 (آنالیزبها) در داخل برنامه در سیستم وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,24,آناليز بها,آنالیز بها / منابع,امکان آنالیز آیتم های برگه مالی براساس شرح، بهای واحد، آیتم های جدید وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,25,مابه التفاوت حمل,منابع / مصالح / حمل,امکان محاسبه حمل برای همه عناوین مصالح هر فهرست بها وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips_psn.txt,26,مابه التفاوت حمل,منابع / مصالح / حمل,امکان استفاده از فواصل تمام نقاط کشور در محاسبات حمل وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips_psn.txt,27,مابه التفاوت حمل,منابع / مصالح / حمل,امکان محاسبه حمل مصالح که از چندین نقطه مختلف طی مسیر کرده اند ، وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips_psn.txt,28,فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان مشاهده فصول و دفترچه ها با احتساب ضرایب یا به صورت خالص وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,29,فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان مشاهده فرم های فصول و دفترچه ها در وضعیت های تعریف شده در بخشنامه های 4951 و 76574  وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,30,برگه مالی ،فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان محاسبه درصد اجرا شده، مقدار افزایش و کاهش یافته وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,31,فصول و دفترچه ها,فهرست‌بها / دفترچه,مشاهده درصدهای وزنی هر فصل و دفترچه در کل پروژه وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,32,فهارس پايه,تعدیل / شاخص,دسترسی به شاخص های هر سه ماهه به صورت فصلی، رشته ای و کل به تفکیک دفترچه ها  وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_psn.txt,33,درخت,عمومی / نامشخص,مشاهده کل پروژه های سیستم در قالب درخت در حین ورود به برنامه در سیستم وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,34,نصب,عمومی / نامشخص,امکان نصب پایگاه اطلاعاتی روی سرور به علت بالابردن امنیت داده ها و استفاده عمومی سایر کاربران از آن وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,35,امکان تک کاربره و شبکه بودن قفل برنامه و به طبع آن امکان ورود چندین کاربر هم زمان در سیستم های تحت شبکه در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_psn.txt,36,درخت پروژه ها,گزارش / چاپ,گرفتن گزارشات مدیریتی از درخت پروژه ها وجود دارد .,خروجی قابل چاپ/PDF/Excel
